timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1682891087,0,0,0
1683049199,0,0,0
1683132935,130.41681939999999813690258,2287.1268871877902857061435496,2287.1268871877902857061435496
1683289583,140.2459000763629941692,2351.00892533231615702012921376,2351.00892533231615702012921376
1683363431,142.598654667359785125,2401.8705058511660125889417216,2401.8705058511660125889417216
1683627359,135.17691773718214071,109187.39712887917963107516318352,109187.39712887917963107516318352
1683904127,130.36059988306679606757228,106532.73507569206398608564432752,106532.73507569206398608564432752
1684239239,6.1615120805178712274,109592.7490914657598195321494015,109592.7490914657598195321494015
1684292207,6.21751809832715244757098,109185.90175716117690185404761936,109185.90175716117690185404761936
1684515311,6.17606405869210783,108920.78629553814428000543476388,108920.78629553814428000543476388
1684700591,6.17623720448107458734,109714.28773722650177609311736016,109714.28773722650177609311736016
1684798583,6.15930590917262321230510084,257676.81894549139229516526966155,257676.81894549139229516526966155
1684848035,6.18617589155406834192,283030.83822090624026411685489717,283030.83822090624026411685489717
1684961735,6.2128859529418044458788485,1614226.48339525752324992690152815,1614226.48339525752324992690152815
1685007851,108233.73531744181075821306468,2154481.07984531983618942799566828,2154481.07984531983618942799566828
1685144063,110857.4806561639401783540014588,3069746.75083029067793759051653494,3069746.75083029067793759051653494
1685208215,111600.2030740985281541739,3108724.45130811423737726111271482,3108724.45130811423737726111271482
1685358515,752207.70216657989675636784,4508521.66336484240194395557762494,4508521.66336484240194395557762494
1685477783,745748.052984008551914461,4781823.14082828811448638194686899,4781823.14082828811448638194686899
1685534111,629106.93215641255071776670929,4533079.975363900995037906982663,4533079.975363900995037906982663
1685642363,23080079.0780488463146775489808,31631449.64106314604501924535471392,31631449.64106314604501924535471392
1685836763,23394052.25633413448426619498877875,31943776.13341877847357848883886955,31943776.13341877847357848883886955
1685908703,23247978.8371505129955721068,33056320.76130795957678897433632191,33056320.76130795957678897433632191
1686082259,22948309.99974078605258038736,32254782.43609479680547326287583976,32254782.43609479680547326287583976
1686143675,23254987.00488367666774328127398296,31838454.20776486511238434149862172,31838454.20776486511238434149862172
1686234983,22948005.3362035863593056695,31444371.59196655738593508215804305,31444371.59196655738593508215804305
1686316883,23083903.84952242705092683948,31129167.27769311157641943975175739,31129167.27769311157641943975175739
1686439619,22906199.26737597336765851626897952,30976917.6975116955331343908388321,30976917.6975116955331343908388321
1686519995,21891376.23480502266905294232355,29570839.72389731417386264276961865,29570839.72389731417386264276961865
